origin,step,model,actual,pred,series
92,4,ensemble,89.0,107.69140106605819,claims
93,1,naive,91.0,101.0,claims
93,2,naive,79.0,101.0,claims
93,3,naive,89.0,101.0,claims
93,4,naive,96.0,101.0,claims
93,1,seasonal_naive,91.0,95.0,claims
93,2,seasonal_naive,79.0,83.0,claims
93,3,seasonal_naive,89.0,113.0,claims
93,4,seasonal_naive,96.0,84.0,claims
93,1,moving_avg_4w,91.0,95.75,claims
93,2,moving_avg_4w,79.0,95.75,claims
93,3,moving_avg_4w,89.0,95.75,claims
93,4,moving_avg_4w,96.0,95.75,claims
93,1,holt_damped,91.0,94.04721678763164,claims
93,2,holt_damped,79.0,94.02259495111001,claims
93,3,holt_damped,89.0,93.99809622377099,claims
93,4,holt_damped,96.0,93.97371999006864,claims
93,1,ridge_fourier,91.0,95.73700771220561,claims
93,2,ridge_fourier,79.0,99.84768981885385,claims
93,3,ridge_fourier,89.0,102.91415498999909,claims
93,4,ridge_fourier,96.0,103.21107959797587,claims
93,1,hgb_lags,91.0,103.6947816589165,claims
93,2,hgb_lags,79.0,105.03850650931435,claims
93,3,hgb_lags,89.0,106.47286675375777,claims
93,4,hgb_lags,96.0,106.83274041738552,claims
93,1,ensemble,91.0,95.3685038561028,claims
93,2,ensemble,79.0,91.42384490942692,claims
93,3,ensemble,89.0,107.95707749499954,claims
93,4,ensemble,96.0,93.60553979898793,claims
94,1,naive,79.0,91.0,claims
94,2,naive,89.0,91.0,claims
94,3,naive,96.0,91.0,claims
94,4,naive,115.0,91.0,claims
94,1,seasonal_naive,79.0,83.0,claims
94,2,seasonal_naive,89.0,113.0,claims
94,3,seasonal_naive,96.0,84.0,claims
94,4,seasonal_naive,115.0,111.0,claims
94,1,moving_avg_4w,79.0,94.25,claims
94,2,moving_avg_4w,89.0,94.25,claims
94,3,moving_avg_4w,96.0,94.25,claims
94,4,moving_avg_4w,115.0,94.25,claims
94,1,holt_damped,79.0,92.94318310402764,claims
94,2,holt_damped,89.0,92.91090967840782,claims
94,3,holt_damped,96.0,92.87879761991609,claims
94,4,holt_damped,115.0,92.84684612171682,claims
94,1,ridge_fourier,79.0,99.85785181040056,claims
94,2,ridge_fourier,89.0,103.18514861879922,claims
94,3,ridge_fourier,96.0,102.91790982196845,claims
94,4,ridge_fourier,115.0,106.90568909796785,claims
94,1,hgb_lags,79.0,97.44441416322034,claims
94,2,hgb_lags,89.0,101.93052022851109,claims
94,3,hgb_lags,96.0,102.45858450418613,claims
94,4,hgb_lags,115.0,107.95994790936227,claims
94,1,ensemble,79.0,91.42892590520029,claims
94,2,ensemble,89.0,108.09257430939961,claims
94,3,ensemble,96.0,93.45895491098423,claims
94,4,ensemble,115.0,108.95284454898393,claims
95,1,naive,89.0,79.0,claims
95,2,naive,96.0,79.0,claims
95,3,naive,115.0,79.0,claims
95,4,naive,98.0,79.0,claims
95,1,seasonal_naive,89.0,113.0,claims
95,2,seasonal_naive,96.0,84.0,claims
95,3,seasonal_naive,115.0,111.0,claims
95,4,seasonal_naive,98.0,113.0,claims
95,1,moving_avg_4w,89.0,90.75,claims
95,2,moving_avg_4w,96.0,90.75,claims
95,3,moving_avg_4w,115.0,90.75,claims
95,4,moving_avg_4w,98.0,90.75,claims
95,1,holt_damped,89.0,88.14304744548927,claims
95,2,holt_damped,96.0,88.07812188338698,claims
95,3,holt_damped,115.0,88.01352094909521,claims
95,4,holt_damped,98.0,87.94924301947489,claims
95,1,ridge_fourier,89.0,103.15455509689805,claims
95,2,ridge_fourier,96.0,104.06207716153389,claims
95,3,ridge_fourier,115.0,105.76488356884522,claims
95,4,ridge_fourier,98.0,108.66478146158681,claims
95,1,hgb_lags,89.0,102.15938993363567,claims
95,2,hgb_lags,96.0,102.55097533002011,claims
95,3,hgb_lags,115.0,108.55155287318627,claims
95,4,hgb_lags,98.0,115.77542291920864,claims
95,1,ensemble,89.0,108.07727754844902,claims
95,2,ensemble,96.0,94.03103858076695,claims
95,3,ensemble,115.0,108.38244178442261,claims
95,4,ensemble,98.0,110.8323907307934,claims
96,1,naive,96.0,89.0,claims
96,2,naive,115.0,89.0,claims
96,3,naive,98.0,89.0,claims
96,4,naive,105.0,89.0,claims
96,1,seasonal_naive,96.0,84.0,claims
96,2,seasonal_naive,115.0,111.0,claims
96,3,seasonal_naive,98.0,113.0,claims
96,4,seasonal_naive,105.0,108.0,claims
96,1,moving_avg_4w,96.0,90.0,claims
96,2,moving_avg_4w,115.0,90.0,claims
96,3,moving_avg_4w,98.0,90.0,claims
96,4,moving_avg_4w,105.0,90.0,claims
96,1,holt_damped,96.0,88.36914463235978,claims
96,2,holt_damped,115.0,88.30640818441015,claims
96,3,holt_damped,98.0,88.24398541870028,claims
96,4,holt_damped,105.0,88.18187476681895,claims
96,1,ridge_fourier,96.0,103.42953471787301,claims
96,2,ridge_fourier,115.0,106.6551641704819,claims
96,3,ridge_fourier,98.0,108.04575028645752,claims
96,4,ridge_fourier,105.0,105.04428507103914,claims
96,1,hgb_lags,96.0,100.69490000012794,claims
96,2,hgb_lags,115.0,105.80210181437833,claims
96,3,hgb_lags,98.0,112.78432589470559,claims
96,4,hgb_lags,105.0,103.6108692989226,claims
